CODMUN_LLEGADA;ND;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
05854;0;0;4;0;0;9;7;0;9;0;16;4;3;3;718;20;13;2718;52;102;47;54;85;72;41;48;99;43;34;24
05856;0;0;0;0;0;0;0;0;5;2;3;0;7;10;11;9;0;0;8;11;6;0;17;0;0;4;15;4;6;0
05858;0;16;0;0;0;4;2;3;1;12;18;8;16;31;21;151;51;45;114;40;40;20;28;18;14;67;25;59;42;7
05861;0;0;1;0;0;0;0;0;0;3;0;6;3;0;18;2;10;7;13;6;19;22;2;23;4;3;23;10;29;5
05873;0;0;0;0;0;0;0;0;3;0;0;0;1;7;70;16;14;46;14;1035;24;118;34;70;6;10;22;209;4;25
05885;0;0;0;0;0;0;0;0;0;0;8;5;0;5;0;4;0;7;12;6;0;46;0;24;13;3;6;4;0;9
05887;0;20;7;11;8;10;16;11;6;5;38;36;27;55;204;34;85;70;247;147;80;100;128;110;146;148;122;244;179;231
05890;18;10;0;0;0;2;0;5;0;11;17;2;16;8;48;79;118;68;170;91;20;50;80;45;31;45;16;32;31;5
05893;3;0;0;1;4;0;5;4;0;4;0;6;1;110;100;37;31;1244;334;388;105;118;412;349;288;385;98;55;81;7
05895;0;0;2;0;0;1;0;0;0;0;5;0;28;32;0;8;1;186;397;55;50;41;1571;178;177;472;95;145;300;76
08001;233;58;18;22;68;111;55;168;150;234;265;248;290;586;1380;4152;2996;10458;12351;9648;5454;6193;6096;4779;2910;2780;1382;1008;906;471
08078;0;0;0;4;9;0;0;4;0;6;0;1;16;16;18;29;44;113;146;132;105;100;97;86;35;48;45;27;8;15
08137;0;0;0;0;0;0;0;0;0;0;6;4;0;5;11;1;38;36;78;7;95;55;55;61;19;18;9;4;1;0
08141;0;0;0;0;0;0;0;1;0;0;0;0;0;0;12;0;14;26;17;10;13;16;16;18;21;11;7;0;3;0
08296;5;0;0;0;0;0;6;1;0;16;5;4;6;13;11;15;28;147;305;222;172;495;351;223;77;66;21;27;19;15
08372;0;0;0;0;0;3;0;0;0;0;0;9;3;3;14;24;57;75;95;46;3;17;7;3;18;11;11;11;0;4
08421;0;0;0;0;0;0;0;0;4;7;6;0;8;0;0;9;8;7;43;54;45;55;20;38;14;14;16;17;11;4
08433;32;6;4;3;1;0;10;5;0;27;19;14;24;109;143;529;431;2251;1117;1064;553;785;842;607;658;472;233;198;170;21
08436;0;0;0;0;0;0;0;0;0;0;0;0;1;15;0;0;0;56;50;27;46;53;5;0;15;14;7;0;0;0
08520;8;0;0;0;0;3;0;0;0;6;8;17;9;12;6;20;44;538;274;331;128;181;197;23;38;47;52;13;12;5
08549;12;0;0;0;0;0;8;0;0;0;0;0;0;0;0;5;9;9;7;10;1;1;6;3;5;5;6;0;0;0
08558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;22;5;44;26;14;20;7;9;8;0;0;0;0
08560;0;0;3;0;0;0;18;14;26;12;9;10;35;7;55;69;49;370;164;95;99;49;34;30;17;6;9;2;10;5
08573;11;12;0;0;0;4;5;0;5;22;10;16;11;24;42;54;66;524;244;162;99;105;85;76;112;50;24;61;75;14
08606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;85;70;23;44;15;3;3;19;14;12;2;1;0
08634;9;0;0;16;3;8;0;58;15;3;16;22;10;8;26;42;80;1061;279;196;161;114;224;106;42;117;37;32;10;0
08638;0;9;0;0;0;7;0;3;16;13;16;17;12;28;18;48;63;405;280;282;220;276;95;95;97;49;45;34;36;3
