CODMUN_SALIDA;ND;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
13442;451;0;0;0;2;18;19;40;39;30;18;21;41;27;456;316;471;2559;8070;2347;1101;1353;1608;1709;1258;919;117;43;31;13
13458;1019;10;0;7;1;19;33;73;8;16;31;10;69;60;111;4222;493;2254;1951;2337;475;856;887;690;884;319;179;98;137;138
13468;16;1;3;0;0;0;0;0;2;0;9;4;4;10;11;76;83;134;119;206;118;164;213;200;223;208;59;43;45;19
13473;191;10;13;7;0;0;18;7;0;13;9;9;48;169;145;469;407;923;713;1128;469;329;462;709;636;771;278;214;192;47
13490;0;0;0;0;0;0;0;0;0;1;8;4;6;9;9;259;34;16;59;23;3;4;4;11;5;26;61;9;32;16
13549;55;33;0;2;2;0;9;32;2;8;19;15;27;47;48;310;259;366;510;545;193;259;384;391;484;321;158;43;123;1
13580;27;3;0;5;0;9;0;0;15;6;15;6;5;6;192;275;51;130;141;127;49;246;81;154;78;96;20;11;22;0
13600;260;5;0;2;12;7;8;0;0;20;13;20;1;26;119;5748;348;695;563;551;211;201;315;308;296;191;109;47;200;15
13620;40;0;0;0;0;0;0;0;0;0;1;0;0;3;0;7;38;38;42;55;6;51;18;28;45;10;7;4;0;0
13647;75;0;0;0;0;0;0;0;0;0;3;5;0;1;0;6;2;23;63;59;443;72;67;26;48;15;0;15;0;0
13650;17;0;0;0;2;0;0;0;0;0;0;4;4;3;3;11;11;17;10;12;35;21;58;53;38;24;8;0;6;5
13654;942;12;4;5;17;19;14;45;59;45;63;18;87;324;454;610;5403;2942;2424;2052;1403;620;934;795;679;298;59;28;20;10
13655;7;0;0;0;0;3;5;18;7;9;14;9;8;4;97;356;170;104;89;424;124;61;174;78;113;54;46;80;101;4
13657;273;1;1;1;5;3;48;13;28;48;77;23;88;249;462;234;813;2241;1494;3716;512;887;1058;3765;1043;216;57;24;28;4
13667;66;10;3;8;11;11;32;0;28;12;7;18;32;43;81;1799;447;537;359;429;167;195;360;530;407;318;86;39;60;15
13670;457;23;17;5;14;28;5;23;16;20;18;6;43;41;134;806;781;2059;3681;2600;1701;1986;4856;3788;3976;3067;1379;721;786;179
13673;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;3;10;30;25;43;21;84;53;84;56;42;14;4;5;0
13683;105;15;0;1;0;0;0;0;6;0;0;7;13;27;7;110;129;367;521;342;519;425;1187;1239;821;666;477;171;114;39
13688;433;3;0;0;0;6;10;0;1;2;5;11;2;7;18;66;113;850;1819;865;451;393;675;918;1339;1034;516;404;375;136
13744;161;13;7;4;11;1;52;1;9;42;1;17;36;25;103;1505;764;630;977;711;487;800;1252;1412;1413;1202;396;299;208;26
13760;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;14;18;14;25;4;14;13;38;25;4;0;0;0;0
13780;1;0;0;0;0;0;0;0;0;0;5;0;0;8;6;0;4;40;23;57;17;60;80;61;34;31;27;8;6;0
13810;939;37;2;33;15;25;34;46;3;44;40;37;71;72;309;4930;2089;2629;3417;1557;745;927;826;555;570;419;169;92;120;71
13836;7;0;0;0;0;0;3;0;4;0;0;0;3;11;2;20;22;419;110;120;505;158;126;151;170;89;32;31;31;28
13838;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;9;67;18;14;35;10;23;60;0;29;0;0;0
13873;25;2;5;0;0;0;0;0;5;0;6;4;0;0;4;43;27;249;2265;312;315;216;237;313;328;89;19;13;7;0
13894;555;1;0;8;0;2;4;40;26;14;43;34;77;41;134;215;1788;4134;3416;1812;534;326;362;321;365;226;43;17;32;5
15001;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;13;42;40;9;0;28;29;19;0;0;5;0
15022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;4;0;4;4;4;4;4;1;0;0
15047;15;0;0;0;0;0;0;0;3;13;12;5;0;0;0;7;39;20;20;38;143;28;86;17;31;34;18;0;4;0
15051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
15087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;7;20;10;0;2;14;8;0;0;4
15090;0;0;0;0;0;0;3;0;11;0;0;0;0;0;0;0;0;0;0;13;3;17;11;1;0;1;0;0;0;0
15092;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;7;0;0;8;0;0;0;0;0;0
15097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;30;6;24;3;5;8;13;0;4;0;0
15104;0;0;4;5;0;0;1;0;0;0;0;6;0;0;0;0;0;0;33;12;9;45;1;15;9;11;4;7;0;0
15106;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;4;10;11;7;2;5;0;0;0;0
15109;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;0;4;23;19;32;3;7;0;0;0
15114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
15131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;3;0;0;3;0;0;0;0;0;0;0
15135;12;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;0;6;101;65;14;64;17;26;49;17;9;0;0;0
